iter	Logloss
0	0.3264513269
1	0.248599908
2	0.2066286702
3	0.1930552497
4	0.1870453729
5	0.1831781523
6	0.1796304465
7	0.1779343114
8	0.1768039926
9	0.1755229364
10	0.1736577403
11	0.1722888284
12	0.1722195605
13	0.1713370639
14	0.1709905743
15	0.1706726863
16	0.1698545665
17	0.1696148614
18	0.1694109067
19	0.1691388444
20	0.168882502
21	0.1688752149
22	0.1683799501
23	0.1683606367
24	0.1673271299
25	0.1670425138
26	0.1668602777
27	0.1666291752
28	0.1663981382
29	0.1663012668
30	0.1658928172
31	0.1656516676
32	0.1653016639
33	0.1651318802
34	0.1648958203
35	0.1648023303
36	0.1645259629
37	0.1642714494
38	0.1637149615
39	0.1633894692
40	0.1632884189
41	0.1631900718
42	0.1629991929
43	0.162789265
44	0.1623377436
45	0.1617274513
46	0.1613914455
47	0.1613377151
48	0.1609708833
49	0.1606419985
50	0.1606261415
51	0.1601019089
52	0.1598436297
53	0.1598318724
54	0.1596909129
55	0.1594674257
56	0.1593181977
57	0.159121306
58	0.1587379621
59	0.1585662538
60	0.1584388058
61	0.1582943846
62	0.1581055663
63	0.1579425034
64	0.1579324541
65	0.1579315327
66	0.1576970562
67	0.1576679995
68	0.1573317729
69	0.1568389598
70	0.1566005604
71	0.1564002612
72	0.1561634482
73	0.1560971146
74	0.155866262
75	0.155541786
76	0.1554202675
77	0.1552668946
78	0.155141288
79	0.1546380205
80	0.1544303469
81	0.1543941321
82	0.1542907047
83	0.1538571652
84	0.1536570444
85	0.1536041257
86	0.1533709287
87	0.1530186268
88	0.1529311809
89	0.1528226926
90	0.1527561683
91	0.1526315753
92	0.1523474514
93	0.1521827011
94	0.1519175749
95	0.1518309357
96	0.1517952977
97	0.1515640026
98	0.1512005957
99	0.1510430693
